23845,23907,22662,22990
22937,23063,22860,23053
22831,23183,22812,23111
23227,23502,23174,23386
23507,23555,23376,23555
23574,23821,23560,23748
23748,23869,23710,23830
23801,23845,23729,23801
23705,23705,23217,23323
23444,23632,23381,23589
23531,23647,23405,23468
23690,23869,23690,23816
23849,23951,23748,23816
23999,24091,23878,23975
23956,24067,23932,24018
24129,24236,24057,24139
24149,24236,24134,24183
24216,24216,24086,24149
24139,24139,23980,24105
24202,24216,24076,24129
24028,24154,23965,24115
24178,24231,24076,24129
24105,24356,24076,24342
24337,24400,24323,24327
24337,24385,24212,24274
24269,24414,24221,24255
24337,24467,24337,24453
24385,24395,24250,24265
24096,24115,23941,23956
24096,24100,23946,24009
24067,24284,24052,24269
24434,24501,24323,24453
24501,24680,24463,24641
24603,24675,24559,24559
24559,24593,24482,24588
24665,24825,24632,24675
24757,24830,24661,24661
24627,24685,24535,24641
24656,24830,24622,24820
24849,24888,24786,24878
24839,24863,24719,24733
24752,24863,24752,24863
24854,24873,24709,24748
24738,24830,24656,24791
24709,24719,24574,24694
24535,24723,24501,24699
24777,24931,24767,24801
24801,24805,24656,24709
24583,24646,24458,24646
24651,24694,24603,24694
24834,25013,24815,25008
24994,25105,24994,25100
25105,25235,25052,25052
25115,25168,24994,25047
24883,24902,24690,24752
24352,24438,24129,24129
24434,24434,24216,24216
24231,24482,24202,24467
24376,24521,24356,24506
24482,24670,24472,24670
24844,24984,24830,24888
24955,24955,24830,24868
24863,24970,24748,24786
24699,25003,24579,24955
24926,24950,24854,24883
24989,25129,24984,25057
24907,24936,24772,24786
24931,25003,24883,24931
24757,24974,24694,24917
25105,25139,24984,25090
25066,25124,25003,25013
24941,25090,24830,25052
25003,25086,24685,24704
24564,24738,24550,24685
24646,24680,24429,24467
24525,24656,24521,24593
24622,24719,24424,24632
24665,24820,24641,24801
24772,24965,24748,24830
24863,24960,24834,24854
24834,24883,24723,24733
24844,24950,24830,24921
24897,24936,24839,24883
24777,24777,24472,24579
24665,24738,24617,24690
24670,24781,24651,24704
24607,24719,24554,24656
24646,24680,24424,24665
24482,24530,24342,24342
24323,24448,24265,24424
24361,24424,24303,24337
24617,24627,24492,24574
24685,24685,24492,24627
24694,24786,23791,24120
24443,24612,24395,24598
24438,24467,24294,24352
24308,24352,24125,24158
24125,24207,24062,24071
24197,24250,24134,24158
24076,24178,23980,24144
24197,24202,24033,24134
